,userId,symbol,pnl,roe,createTimeStamp,updateTimeStamp,amount,date,timeInTrade
0,3981DE6572C193CB66D3FB022050B303,ETHUSDT,1068.98778258,0.1905,1655311047.273,1655315847.541,50.695,2022-06-15 20:57:27.541,4800.268
0,3981DE6572C193CB66D3FB022050B303,ETHUSDT,-1025.7626965,-0.1883,1655315912.219,1655316021.113,50.0,2022-06-15 21:00:21.113,108.894
0,3981DE6572C193CB66D3FB022050B303,ETHUSDT,5112.83307768,0.775,1655316180.305,1655318656.614,56.25,2022-06-15 21:44:16.614,2476.309
0,3981DE6572C193CB66D3FB022050B303,SOLUSDT,975.4050075,0.2291,1655253229.831,1655318672.881,1375.0,2022-06-15 21:44:32.881,65443.05
0,3981DE6572C193CB66D3FB022050B303,BTCUSDT,1624.2827,0.5995,1655315897.609,1655318895.632,2.5,2022-06-15 21:48:15.632,2998.023
0,3981DE6572C193CB66D3FB022050B303,LINKUSDT,2607.14265,0.7692,1655316276.862,1655318895.641,5000.0,2022-06-15 21:48:15.641,2618.779
0,3981DE6572C193CB66D3FB022050B303,UNIUSDT,718.28979552,0.2371,1655317851.509,1655318895.651,5016.0,2022-06-15 21:48:15.651,1044.142
0,3981DE6572C193CB66D3FB022050B303,DOTUSDT,1573.90220678,0.3642,1655310630.756,1655318895.661,5809.6,2022-06-15 21:48:15.661,8264.905
0,3981DE6572C193CB66D3FB022050B303,ADAUSDT,579.663,0.1533,1655258657.117,1655318895.671,75000.0,2022-06-15 21:48:15.671,60238.554
0,3981DE6572C193CB66D3FB022050B303,ETHUSDT,-44.97663975,-0.0101,1655318941.43,1655322475.812,37.5,2022-06-15 22:47:55.812,3534.382
0,3981DE6572C193CB66D3FB022050B303,UNIUSDT,764.9325384,0.1485,1655318927.493,1655323806.959,12336.0,2022-06-15 23:10:06.959,4879.466
0,3981DE6572C193CB66D3FB022050B303,DOTUSDT,1054.23943463,0.3827,1655318960.687,1655323806.97,3501.2,2022-06-15 23:10:06.970,4846.283
0,3981DE6572C193CB66D3FB022050B303,LINKUSDT,-23.1707448,-0.0099,1655318968.18,1655323844.57,3346.56,2022-06-15 23:10:44.570,4876.39
0,3981DE6572C193CB66D3FB022050B303,BTCUSDT,59.96589465,0.022,1655318949.558,1655323844.579,2.5,2022-06-15 23:10:44.579,4895.021
0,3981DE6572C193CB66D3FB022050B303,ADAUSDT,43.8975,0.0171,1655325389.841,1655325991.068,50000.0,2022-06-15 23:46:31.068,601.227
0,3981DE6572C193CB66D3FB022050B303,APEUSDT,4.6019988,0.0043,1655326725.859,1655327157.608,-1442.0,2022-06-16 00:05:57.608,431.749
0,3981DE6572C193CB66D3FB022050B303,XMRUSDT,-292.7400313,-0.2606,1655327448.454,1655328190.414,-193.518,2022-06-16 00:23:10.414,741.96
0,3981DE6572C193CB66D3FB022050B303,ETHUSDT_220624,624.9166245,0.2306,1655327799.49,1655329067.71,45.0,2022-06-16 00:37:47.710,1268.22
0,3981DE6572C193CB66D3FB022050B303,ETHUSDT_220624,335.07060012,0.0879,1655329144.078,1655329229.831,62.722,2022-06-16 00:40:29.831,85.753
0,3981DE6572C193CB66D3FB022050B303,ETHUSDT,2287.4549485,0.3757,1655322545.675,1655329543.092,50.0,2022-06-16 00:45:43.092,6997.417
0,3981DE6572C193CB66D3FB022050B303,BTCUSDT,815.9900458,0.072,1655324469.218,1655329558.589,1.5,2022-06-16 00:45:58.589,5089.371
0,3981DE6572C193CB66D3FB022050B303,SOLUSDT,1082.46205,0.3285,1655325375.491,1655329640.321,1000.0,2022-06-16 00:47:20.321,4264.83
0,3981DE6572C193CB66D3FB022050B303,ETHUSDT,-315.24160975,-0.0341,1655329909.905,1655330420.281,75.312,2022-06-16 01:00:20.281,510.376
0,3981DE6572C193CB66D3FB022050B303,UNIUSDT,992.3577,0.4529,1655325359.655,1655332797.354,5000.0,2022-06-16 01:39:57.354,7437.699
0,3981DE6572C193CB66D3FB022050B303,BTCUSDT,588.9097,0.2135,1655330289.514,1655355792.871,-2.5,2022-06-16 08:03:12.871,25503.357
0,3981DE6572C193CB66D3FB022050B303,ETHUSDT,854.8430655,0.2865,1655330460.121,1655355792.88,-25.0,2022-06-16 08:03:12.880,25332.759
0,3981DE6572C193CB66D3FB022050B303,UNIUSDT,-106.13031231,-0.0369,1655366383.967,1655383058.977,7051.0,2022-06-16 15:37:38.977,16675.01
0,3981DE6572C193CB66D3FB022050B303,BTCUSDT,-1064.01168825,-0.2845,1655361329.147,1655383117.826,3.5,2022-06-16 15:38:37.826,21788.679
0,3981DE6572C193CB66D3FB022050B303,GMTUSDT,-703.16773,-0.49,1655361398.002,1655383133.109,23000.0,2022-06-16 15:38:53.109,21735.107
