,userId,symbol,pnl,roe,createTimeStamp,updateTimeStamp,amount,date,timeInTrade
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,103.2724741,0.0099,1651379186.084,1651379322.351,565.0,2022-05-01 07:28:42.351,136.267
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,918.50094,0.08,1651415652.168,1651415993.989,7000.0,2022-05-01 17:39:53.989,341.821
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,964.8282,0.0844,1651416866.148,1651418331.05,7000.0,2022-05-01 18:18:51.050,1464.902
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,304.759,0.0376,1651419191.09,1651419261.47,23443.0,2022-05-01 18:34:21.470,70.38
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,-504.0,-0.0456,1651445713.929,1651445766.735,7000.0,2022-05-02 01:56:06.735,52.806
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,423.06106383,0.0539,1651446036.119,1651446930.846,4957.0,2022-05-02 02:15:30.846,894.727
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,8.6221031,0.0008,1651447039.638,1651447082.399,130.0,2022-05-02 02:18:02.399,42.761
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,-412.65,-0.0399,1651484807.124,1651485847.607,6550.0,2022-05-02 13:04:07.607,1040.483
0,4BE2EED9BF937BA4631E3E1BB89E40B6,NEARUSDT,490.13128287,0.0469,1651484811.179,1651485924.052,9067.0,2022-05-02 13:05:24.052,1112.873
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,1176.24195416,0.1093,1651491050.137,1651493736.669,6967.0,2022-05-02 15:15:36.669,2686.532
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,-756.34412,-0.0722,1651497672.903,1651507226.048,7000.0,2022-05-02 19:00:26.048,9553.145
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,376.0,0.0322,1651511044.884,1651518780.035,8000.0,2022-05-02 22:13:00.035,7735.151
0,4BE2EED9BF937BA4631E3E1BB89E40B6,LINKUSDT,0.05102178,0.0452,1651580228.678,1651586472.731,-1.0,2022-05-03 17:01:12.731,6244.053
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,5.988,0.0005,1651645203.232,1651645227.219,499.0,2022-05-04 09:20:27.219,23.987
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,75.60003051,0.0054,1651645297.203,1651645445.888,991.0,2022-05-04 09:24:05.888,148.685
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,-852.2819646,-0.0736,1651659969.783,1651660089.73,-6820.0,2022-05-04 13:28:09.730,119.947
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,0.0,0.0,1651660268.136,1651660278.697,6491.0,2022-05-04 13:31:18.697,10.561
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,-690.656,-0.0695,1651662414.057,1651662904.118,6112.0,2022-05-04 14:15:04.118,490.061
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,-319.67216268,-0.0396,1651663098.162,1651664596.82,5167.0,2022-05-04 14:43:16.820,1498.658
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,-11.618,-0.0013,1651672755.269,1651673113.302,5809.0,2022-05-04 17:05:13.302,358.033
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,92.5726246,0.074,1651687362.654,1651687468.038,788.0,2022-05-04 21:04:28.038,105.384
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,2995.62314925,0.4681,1651766437.981,1651766655.745,46535.0,2022-05-05 19:04:15.745,217.764
0,4BE2EED9BF937BA4631E3E1BB89E40B6,ENSUSDT,1146.66673448,0.1371,1651766466.955,1651766682.782,4327.3,2022-05-05 19:04:42.782,215.827
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,-1105.5825,-0.1015,1651766791.074,1651767181.855,40203.0,2022-05-05 19:13:01.855,390.781
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,-344.0,-0.0323,1651775086.076,1651775738.365,8000.0,2022-05-05 21:35:38.365,652.289
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,-76.6099,-0.0071,1651774861.099,1651776437.36,40321.0,2022-05-05 21:47:17.360,1576.261
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,901.44,0.1449,1651778081.372,1651779402.43,4695.0,2022-05-05 22:36:42.430,1321.058
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,885.5119,0.0819,1651777447.831,1651779527.191,40807.0,2022-05-05 22:38:47.191,2079.36
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,2572.0128,0.2553,1651822842.879,1651823632.076,40000.0,2022-05-06 10:53:52.076,789.197
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,-331.5642,-0.0487,1651824035.021,1651825536.711,27402.0,2022-05-06 11:25:36.711,1501.69
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,414.0024442,0.0399,1651894284.291,1651894350.985,8285.0,2022-05-07 06:32:30.985,66.694
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,95.613,0.0093,1651897290.056,1651897373.976,5495.0,2022-05-07 07:22:53.976,83.92
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,-241.018,-0.0226,1651909534.031,1651909665.567,-40000.0,2022-05-07 10:47:45.567,131.536
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,309.80898904,0.0445,1651909773.164,1651910270.368,5513.0,2022-05-07 10:57:50.368,497.204
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,-237.831,-0.0218,1651963714.252,1651964450.301,43242.0,2022-05-08 02:00:50.301,736.049
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GALUSDT,33.00571767,0.0036,1651963660.672,1651964469.018,8711.0,2022-05-08 02:01:09.018,808.346
0,4BE2EED9BF937BA4631E3E1BB89E40B6,LUNAUSDT,813.34358735,0.09185529,1651964772.784,1651964786.68,-2593.0,2022-05-08 02:06:26.680,13.896
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,-3.81569824,-0.0004,1651965782.7,1651965893.409,33232.0,2022-05-08 02:24:53.409,110.709
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GALUSDT,1788.62117,0.243,1651968033.023,1651968374.523,7000.0,2022-05-08 03:06:14.523,341.5
0,4BE2EED9BF937BA4631E3E1BB89E40B6,LUNAUSDT,-304.614096,-0.02888121,1651971237.733,1651971702.319,1600.0,2022-05-08 04:01:42.319,464.586
0,4BE2EED9BF937BA4631E3E1BB89E40B6,LUNAUSDT,-881.55896456,-0.08766513,1651972577.213,1651978625.826,1558.0,2022-05-08 05:57:05.826,6048.613
0,4BE2EED9BF937BA4631E3E1BB89E40B6,LUNAUSDT,2078.905936,0.19834068,1651979293.704,1651979852.822,1600.0,2022-05-08 06:17:32.822,559.118
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,192.0,0.02,1651975520.337,1651979931.046,8000.0,2022-05-08 06:18:51.046,4410.709
0,4BE2EED9BF937BA4631E3E1BB89E40B6,LUNAUSDT,1361.6,0.13304983,1652001625.661,1652005209.248,1600.0,2022-05-08 13:20:09.248,3583.587
0,4BE2EED9BF937BA4631E3E1BB89E40B6,LUNAUSDT,350.2,0.03376164,1652013500.681,1652013630.773,1700.0,2022-05-08 15:40:30.773,130.092
0,4BE2EED9BF937BA4631E3E1BB89E40B6,LUNAUSDT,-636.6434035,-0.05874931,1652016423.349,1652016675.671,1775.0,2022-05-08 16:31:15.671,252.322
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,307.95304,0.0332,1652018169.325,1652018471.48,8000.0,2022-05-08 17:01:11.480,302.155
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,1176.0,0.13,1652029449.982,1652044319.31,8000.0,2022-05-09 00:11:59.310,14869.328
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,-84.1732,-0.008,1652067839.337,1652068316.725,40000.0,2022-05-09 06:51:56.725,477.388
0,4BE2EED9BF937BA4631E3E1BB89E40B6,APEUSDT,92.025678,0.0172,1652067717.782,1652069220.986,4740.0,2022-05-09 07:07:00.986,1503.204
0,4BE2EED9BF937BA4631E3E1BB89E40B6,GMTUSDT,115.7307312,0.0253,1652075842.088,1652076120.979,17592.0,2022-05-09 09:02:00.979,278.891
